Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOCG,143.5,499.3,288.8,8.823,8.094,34.37,2.432,23.54,0,13.7,41.74,0.979
IOCG,2234,514.8,21.44,4.713,3227,16.45,3.462,1.046,0,1.516,270.6,21.87
IOCG,5439.568719,527.7414985,,0.477757418,109.3411035,14.53586916,0.008565612,0.02835,0.18325,0.006098275,0.03115,0.01
IOCG,485,781,0.11725,0.5902,26.5671,14,0.0184,0.0373,0.13695,,0.022,0.0082
IOCG,3068.575412,787.5703132,,0.25205,103.3665538,22.48835804,0.01045,0.02025,0.125111023,0.015211194,0.02295,0.0096
IOCG,466.8,795.2,11.78,2.832,86.6,74.47,0.147,23.73,0,13.05,44.73,8.066
IOCG,449,812,0.10795,0.2895,22.1687,11,0.0256,0.0449,0.14025,,0.0451,0.01
IOCG,327,816.6,20.04,9.341,58.38,57.36,0.645,35.77,0,77.96,63.91,24.37
IOCG,5841,826.9,4.947,4.08,2966,79.88,0,0.048,0,16.52,0.473,0.628
IOCG,478.2,841.4,11.37,4.902,99.16,77.65,0.147,21.11,0,25.49,37.63,11.57
IOCG,8574,843.8,739.7,16.9,3118,64.5,3.087,0.856,0,2.182,12.09,12.27
IOCG,1564,855.1,527.3,5.338,236.2,46.22,5.052,0.064,0,1534,12,2.895
IOCG,3188.133704,860.6246797,,0.80776965,58.99710787,14.35084646,0.0099,0.022,0.1207,0.0104,0.0217,0.0068
IOCG,2900,880,7.48,4.6,2.6,26.8097074,1.7,0.056,0.09705,12,37,0.19
IOCG,1411,883,0.15465,0.3303,56.9714,7,0.0118,0.024,0.277,,0.0303,0.01
IOCG,2407.617072,889.0694421,,0.66685,118.0913795,26.8097074,8.092246449,0.409660866,1.50667237,0.02255,5.957074604,0.400638532
IOCG,624,902,0.1031,0.7655,27.0486,13,0.0094,0.01485,0.31705,,0.0322,0.00585
IOCG,568,904,0.1111,0.6622,27.0949,13,0.0247,0.0254,0.2951,,0.02735,0.01
IOCG,3224.980627,906.1361026,,0.33875,107.1846569,27.57467802,0.0115,0.056866449,0.16935,0.017,0.03295,0.005591833
IOCG,392.6,930.3,12.19,5.664,147.9,98.66,0.197,16.97,0,2.117,30.5,7.036
